review_id	sentiment	label_id	input_ids	review_body	date
4944	1	2	[0, 100, 657, 42, 6013, 7, 3568, 1937, 142, 24, 16, 3793, 8, 55, 9869, 87, 10, 3280, 10798, 6013, 4, 24, 16, 941, 372, 7, 10490, 19, 10, 23204, 73, 1886, 6703, 4, 5, 8089, 32, 460, 17545, 8, 5, 1521, 16, 30980, 27360, 4, 939, 308, 484, 8, 657, 106, 70, 4, 24, 18, 10, 372, 923, 941, 15, 1392, 4, 939, 6329, 3568, 10, 1836, 231, 8, 5, 650, 10698, 6683, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I love this tank to wear alone because it is soft and more lovely than a basic plain tank. it is especially great to layer with a sweater/ cardigan. the colors are always fabulous and the design is wonderfully feminine. i own several and love them all. it's a great value especially on sale. i normally wear a size 6 and the small fits perfectly.	2022-03-21T13:11:50Z
10156	-1	0	[0, 100, 2333, 907, 10, 1763, 9, 209, 761, 9, 9304, 358, 76, 31, 42, 1518, 4, 51, 32, 13719, 1437, 28685, 8, 182, 34203, 7, 127, 42294, 906, 809, 4, 42, 1518, 64, 422, 380, 1437, 98, 939, 2333, 907, 10, 1836, 132, 1195, 87, 127, 2340, 1836, 204, 4, 939, 21, 164, 7, 2067, 24, 66, 8, 905, 951, 1493, 860, 106, 78, 1437, 53, 172, 939, 740, 12061, 8, 2740, 106, 11, 80, 10070, 35, 973, 8, 974, 142, 51, 399, 75, 6929, 106, 132, 1437, 204, 1437, 231, 4753, 4, 5988, 4, 209, 9304, 202, 356, 157, 156, 8, 33, 11962, 410, 1254, 1437, 53, 51, 32, 2671, 87, 655, 12846, 5, 974, 18, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I usually buy a pair of these kind of pants every year from this brand. they are lightweight  sturdy and very flattering to my curvier body. this brand can run big  so i usually buy a size 2 rather than my normal size 4. i was going to wait it out and let someone else try them first  but then i caved and ordered them in two sizes: 26 and 27 because they didn't label them 2  4  6 etc. anymore. these pants still look well made and have cute little details  but they are bigger than ever!! the 27's	2022-03-21T13:11:50Z
5063	0	1	[0, 243, 18, 10, 182, 1256, 299, 4, 10, 410, 3229, 11, 760, 23, 5, 11044, 4, 939, 437, 1311, 24, 155, 2690, 142, 5, 10199, 16, 182, 2342, 38755, 8, 1326, 6162, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	It's a very pretty top. a little tight in front at the bust. i'm giving it 3 stars because the fabric is very flimsy and looks cheap.	2022-03-21T13:11:50Z
4083	1	2	[0, 100, 3584, 127, 2340, 1836, 650, 4, 939, 2638, 5, 8089, 11, 5, 14327, 61, 32, 55, 2440, 8, 11577, 1275, 7, 162, 4, 42, 299, 16, 10, 2579, 3793, 10199, 4, 24, 40, 1763, 2579, 19, 21288, 10844, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I purchased my normal size small. i loved the colors in the purple which are more blue and vibrant red to me. this top is a nice soft fabric. it will pair nice with denim jeans.	2022-03-21T13:11:50Z
16861	0	1	[0, 713, 299, 16, 13, 951, 3269, 7050, 196, 8, 22877, 4, 939, 269, 101, 5, 23256, 1437, 3195, 1437, 10199, 8, 960, 4682, 14, 24, 18, 45, 13, 127, 809, 1907, 4, 939, 524, 10, 2491, 16134, 8, 33, 10, 410, 828, 9, 10, 9377, 734, 98, 24, 817, 162, 356, 5886, 31, 5, 2380, 4, 1437, 5, 3493, 551, 15, 5, 1421, 32, 31, 5, 760, 8, 124, 111, 53, 939, 40, 5673, 79, 74, 202, 356, 205, 11, 24, 31, 5, 2380, 328, 40, 28, 3357, 24, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This top is for someone flat chested and skinny. i really like the styling  color  fabric and everything except that it's not for my body type. i am a 36dd and have a little bit of a stomach... so it makes me look fat from the sides.  the pictures taken on the model are from the front and back - but i will bet she would still look good in it from the sides! will be returning it.	2022-03-21T13:11:50Z
13361	0	1	[0, 100, 2740, 10, 650, 8, 939, 437, 2333, 460, 10, 650, 4, 939, 115, 45, 23595, 24, 62, 4, 939, 437, 524, 3357, 24, 13, 10, 739, 1437, 8, 42, 16, 8082, 142, 99, 114, 24, 16, 380, 11, 10, 7735, 169, 142, 939, 437, 2333, 10, 739, 116, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I ordered a small and i'm usually always a small. i could not zip it up. i'm am returning it for a large  and this is concerning because what if it is big in a weird way because i'm usually a large?	2022-03-21T13:11:50Z
3137	-1	0	[0, 100, 2162, 42, 3588, 11, 41, 3023, 29, 1437, 8, 524, 195, 108, 306, 113, 1437, 12312, 23246, 1437, 8, 5342, 35563, 4, 5, 10762, 58, 41783, 1437, 53, 5, 28097, 36, 463, 2085, 13977, 43, 17341, 23, 513, 132, 12, 246, 1178, 350, 380, 4, 3137, 3435, 98, 5579, 5, 10199, 3359, 409, 31, 127, 809, 101, 11954, 15, 349, 526, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"I bought this dress in an xs  and am 5'4""  115 lbs  and fairly proportional. the shoulders were snug  but the hips (and maybe waist)were at least 2-3x too big. comically so-- the fabric stood away from my body like wings on each side."	2022-03-21T13:11:50Z
13862	0	1	[0, 565, 10382, 42, 3588, 15, 452, 11, 5, 1400, 4, 939, 524, 10, 1836, 158, 1437, 2128, 10, 1836, 290, 4, 5, 1836, 316, 21, 5, 78, 1836, 939, 1381, 14, 992, 8246, 70, 5, 169, 62, 4, 959, 24, 21, 202, 182, 3229, 198, 127, 9377, 8, 11044, 4, 8, 172, 31, 519, 7, 1836, 62, 1437, 24, 29139, 66, 350, 203, 23, 5, 2576, 13, 127, 25896, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Tried this dress on today in the store. i am a size 10  sometimes a size 8. the size 12 was the first size i tried that zipped all the way up. however it was still very tight around my stomach and bust. and then from having to size up  it flared out too much at the bottom for my liking	2022-03-21T13:11:50Z
9737	-1	0	[0, 791, 4147, 1437, 939, 21, 98, 5779, 19, 42, 6399, 4, 939, 21, 98, 2283, 77, 939, 794, 24, 804, 8, 802, 24, 74, 28, 10, 1969, 1035, 6399, 19, 5, 1109, 8089, 8, 5, 14214, 5780, 4, 9574, 24, 5712, 3269, 8, 939, 1346, 122, 596, 51, 218, 75, 33, 10, 1359, 15, 1345, 9, 5, 6399, 1437, 63, 182, 10798, 8, 22533, 182, 29747, 7933, 7790, 4, 24, 18, 2299, 1716, 402, 11, 5, 760, 4, 939, 3700, 3568, 10, 650, 7, 41, 1823, 650, 8, 939, 2740, 42, 11, 41, 1823, 650, 8, 74, 33, 956, 41, 37863, 29, 114, 939, 5844, 75, 1835, 939, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Ugh  i was so disappointed with this shirt. i was so excited when i saw it online and thought it would be a perfect summer shirt with the light colors and the flower print. unfortunately it falls flat and i understand now why they don't have a straight on photo of the shirt  its very plain and lays very unflatteringly. it's definitely missing something in the front. i typically wear a small to an extra small and i ordered this in an extra small and would have needed an xxs if i hadn't returned i	2022-03-21T13:11:50Z
8671	-1	0	[0, 4528, 32, 23213, 29747, 24203, 5, 10397, 1326, 11216, 8, 5, 1430, 16, 45, 158, 4, 245, 101, 5, 8194, 161, 1437, 61, 16, 5, 129, 1219, 939, 34796, 1329, 15, 209, 24, 16, 508, 845, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"These are terribly unflattering the wash looks dirty and the rise is not 10.5 like the description says  which is the only reason i gambled on these it is 13""."	2022-03-21T13:11:50Z
