review_id	sentiment	label_id	input_ids	review_body	date
8694	1	2	[0, 100, 2333, 3568, 1836, 204, 53, 5, 132, 21, 1969, 1437, 204, 74, 33, 2299, 57, 7082, 4, 269, 2579, 43805, 11, 5, 124, 1437, 42, 16576, 16, 7992, 8, 34, 10, 13116, 73, 428, 7928, 4469, 1663, 7, 24, 528, 7, 5, 3087, 1517, 20962, 61, 939, 21, 3915, 74, 146, 162, 356, 739, 53, 24, 16, 202, 3793, 615, 14, 24, 630, 75, 109, 14, 4, 939, 2333, 33, 7, 120, 4716, 1459, 13, 6215, 8, 42, 21, 117, 8219, 1437, 5, 786, 13713, 1459, 1411, 1684, 127, 15145, 34556, 734, 1437, 34374, 615, 1437, 127, 129, 3633, 13, 42, 16, 14, 5, 15705, 10785, 1302, 7, 120, 22503, 1173, 885, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I usually wear size 4 but the 2 was perfect  4 would have definitely been loose. really nice zipper in the back  this skirt is thick and has a stiff/bouncy construction to it due to the neoprene which i was worried would make me look large but it is still soft enough that it doesn't do that. i usually have to get petite for retailer and this was no exception  the nonpetite goes beyond my knees awkwardly...  strangely enough  my only criticism for this is that the outer shell seems to get largish w	2022-03-21T13:11:50Z
13004	-1	0	[0, 19897, 5314, 19, 97, 11566, 4, 42, 6399, 1237, 182, 380, 4, 939, 437, 70, 13, 10, 3041, 219, 1437, 6399, 14, 35162, 127, 18951, 53, 42, 16, 95, 10, 10178, 4, 939, 581, 28, 5494, 37215, 24, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Agree with other poster. this shirt runs very big. i'm all for a flowy  shirt that hides my belly but this is just a tent. i'll be retuning it.	2022-03-21T13:11:50Z
5894	1	2	[0, 16587, 42, 3588, 328, 24, 16, 15976, 11, 5, 7050, 443, 87, 2085, 421, 1437, 53, 45, 10963, 48819, 1437, 600, 939, 524, 2735, 7050, 196, 4, 24, 40, 28, 372, 13, 2131, 1035, 360, 25, 24, 34, 10, 1109, 14187, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Love this dress! it is tighter in the chest area than maybe expected  but not unwearable  though i am smaller chested. it will be great for hot summer days as it has a light lining.	2022-03-21T13:11:50Z
7499	0	1	[0, 713, 16, 10, 1256, 3588, 4, 939, 2162, 10, 1836, 321, 8, 5, 809, 9, 5, 3588, 2564, 1437, 959, 1437, 5, 21764, 58, 350, 251, 4, 56, 7, 671, 1437, 25, 5, 7082, 8, 1181, 21764, 156, 5, 3588, 356, 350, 380, 15, 162, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This is a pretty dress. i bought a size 0 and the body of the dress fit  however  the sleeves were too long. had to return  as the loose and longer sleeves made the dress look too big on me.	2022-03-21T13:11:50Z
6840	1	2	[0, 133, 1468, 15, 42, 3588, 16, 98, 3793, 8, 30980, 385, 31766, 219, 4, 2422, 34203, 131, 19857, 13977, 615, 7, 45, 1606, 8533, 53, 67, 7433, 10, 18093, 4783, 4, 5, 14327, 3195, 16, 9869, 1437, 1969, 13, 1136, 4, 13, 5135, 1437, 939, 437, 195, 108, 134, 1437, 2107, 16134, 1437, 16970, 23246, 19, 1946, 19487, 1955, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	The material on this dress is so soft and wonderfully drapey. super flattering; defines waist enough to not add bulk but also hide a tummy. the purple color is lovely  perfect for fall. for reference  i'm 5'1  32dd  118 lbs with hourglass figure.	2022-03-21T13:11:50Z
19501	0	1	[0, 100, 303, 42, 16576, 15, 5, 1392, 20004, 8, 4100, 2649, 4760, 8, 939, 222, 45, 860, 24, 15, 4, 77, 939, 300, 184, 939, 1381, 24, 15, 7, 465, 24, 34, 42, 490, 39742, 11, 5, 760, 19, 10, 182, 765, 9215, 4, 5, 3195, 16, 10, 2933, 13504, 4, 939, 657, 5, 1518, 142, 51, 2026, 15, 5, 6929, 7, 28, 156, 11, 5, 201, 102, 1437, 61, 16, 402, 939, 6573, 4, 939, 524, 202, 15, 5, 8146, 59, 42, 16576, 2053, 2085, 939, 74, 836, 24, 7, 5, 26090, 7, 192, 114, 5, 2798, 64, 28, 1690, 17670, 7, 5, 27160, 9219, 1468, 457, 169, 159, 7, 7677, 42, 455, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I found this skirt on the sale rack and apparently miss marked and i did not try it on. when i got home i tried it on to find it has this open flap in the front with a very short slip. the color is a dark navy. i love the brand because they claim on the label to be made in the usa  which is something i prefer. i am still on the fence about this skirt thinking maybe i would bring it to the tailor to see if the panel can be stitched to the faux leather material half way down to eliminate this full	2022-03-21T13:11:50Z
19136	0	1	[0, 32523, 657, 5, 5780, 8, 1318, 16, 372, 350, 328, 9574, 1437, 13, 10, 157, 40674, 693, 101, 2185, 1437, 24, 1237, 23213, 650, 11, 5, 11044, 8, 6605, 976, 4, 24, 3668, 473, 45, 356, 25, 3041, 219, 15, 41, 1946, 19487, 809, 1907, 4, 350, 1099, 142, 24, 18, 2721, 328, 429, 860, 39328, 62, 53, 2980, 24, 40, 173, 46225, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Absolutely love the print and quality is great too! unfortunately  for a well endowed woman like myself  it runs terribly small in the bust and hip region. it absolutely does not look as flowy on an hourglass body type. too bad because it's beautiful! might try sizing up but doubt it will work :(	2022-03-21T13:11:50Z
12389	-1	0	[0, 100, 56, 10, 3588, 14, 1299, 101, 42, 11, 9095, 4, 24, 1236, 11702, 1634, 1437, 190, 114, 47, 218, 75, 4, 117, 1280, 9, 8968, 1178, 64, 13306, 10, 3588, 1236, 11702, 1527, 9, 63, 308, 10170, 4, 5, 5397, 1902, 14, 939, 56, 802, 74, 28, 4187, 1386, 5030, 3215, 88, 6664, 35187, 4, 70, 11, 70, 939, 1299, 101, 24, 14574, 11, 10, 6720, 1400, 7501, 30, 11424, 8939, 41673, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I had a dress that felt like this in 1993. it jiggles  even if you don't. no amount of spanx can cure a dress jiggling of its own accord. the neckline that i had thought would be classic instead veered into frumpy. all in all i felt like it belonged in a discount store surrounded by polyester brethren.	2022-03-21T13:11:50Z
597	0	1	[0, 713, 1237, 650, 1437, 939, 300, 5, 1836, 155, 61, 10698, 101, 10, 4761, 1437, 45, 10, 739, 4, 63, 10, 828, 9, 41, 1076, 833, 14216, 29716, 11, 10, 2721, 24191, 13504, 4, 939, 2638, 5, 13789, 5933, 21764, 4, 939, 33, 10, 739, 2631, 571, 11044, 8, 1712, 42, 2564, 1437, 24, 376, 7, 5, 299, 9, 127, 13977, 8, 939, 437, 765, 12, 2739, 15346, 4, 24, 18, 10, 372, 3280, 13, 951, 540, 11044, 219, 50, 54, 3829, 10, 10941, 5933, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This runs small  i got the size 3 which fits like a medium  not a large. its a bit of an aline shaped knit in a beautiful saturated navy. i loved the elbow length sleeves. i have a large 34g bust and although this fit  it came to the top of my waist and i'm short-waisted. it's a great basic for someone less busty or who likes a shorter length.	2022-03-21T13:11:50Z
3934	-1	0	[0, 574, 12677, 5, 1468, 8, 5, 2496, 4, 9574, 1437, 127, 4606, 376, 1528, 77, 939, 829, 42, 6966, 18605, 1437, 8, 89, 938, 75, 615, 323, 1135, 10, 1551, 939, 56, 1166, 4, 25, 10, 2491, 417, 1437, 939, 802, 5, 12193, 1334, 74, 28, 615, 323, 1437, 959, 1437, 5, 1468, 16, 350, 4140, 219, 7, 5864, 15, 14, 2198, 4, 939, 524, 5074, 939, 351, 75, 28, 2396, 42, 600, 4, 5, 1468, 16, 40974, 16506, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Loved the material and the style. unfortunately  my fears came true when i received this swimsuit  and there wasn't enough support despite a review i had read. as a 36d  i thought the halter would be enough support  however  the material is too stretchy to rely on that completely. i am sad i won't be keeping this though. the material is heavenly!!!	2022-03-21T13:11:50Z
